name,version
css-what,6.2.2
css.escape,1.5.1
cssdb,7.6.0
cssnano,5.1.15
cssnano-preset-default,5.2.14
cssnano-utils,3.1.0
csso,4.2.0
csstype,3.2.3
damerau-levenshtein,1.0.8
debug,2.6.9
debug,3.2.7
debug,4.3.2
debug,4.3.4
deepmerge,4.2.2
define-lazy-prop,2.0.0
define-properties,1.2.0
dequal,2.0.3
detect-port-alt,1.1.6
didyoumean,1.2.2
dir-glob,3.0.1
dlv,1.1.3
doctrine,2.1.0
dom-accessibility-api,0.5.16
dom-accessibility-api,0.6.3
dom-converter,0.2.0
dom-serializer,0.2.2
dom-serializer,1.4.1
dom-serializer,2.0.0
domelementtype,1.3.1
domelementtype,2.2.0
domelementtype,2.3.0
domhandler,4.3.1
domhandler,5.0.3
domutils,1.7.0
domutils,2.8.0
domutils,3.2.2
dot-case,3.0.4
dotenv,10.0.0
dotenv-expand,5.1.0
dunder-proto,1.0.1
duplexer,0.1.2
eastasianwidth,0.2.0
ejs,3.1.10
emittery,0.10.2
emoji-regex,8.0.0
emoji-regex,9.2.2
emojis-list,3.0.0
encoding-sniffer,0.2.1
entities,2.2.0
entities,4.5.0
entities,6.0.1
error-stack-parser,2.1.4
es-abstract,1.21.2
es-define-property,1.0.1
es-errors,1.3.0
es-object-atoms,1.1.1
es-shim-unscopables,1.0.0
escape-string-regexp,1.0.5
escape-string-regexp,2.0.0
escape-string-regexp,4.0.0
eslint,8.44.0
eslint,8.56.0
eslint-config-react-app,7.0.1
eslint-import-resolver-node,0.3.7
eslint-module-utils,2.8.0
eslint-plugin-flowtype,8.0.3
eslint-plugin-import,2.27.5
eslint-plugin-jest,25.7.0
eslint-plugin-jsx-a11y,6.7.1
eslint-plugin-react,7.32.2
eslint-plugin-react-hooks,4.6.0
eslint-plugin-testing-library,5.11.0
eslint-scope,5.1.1
eslint-visitor-keys,2.1.0
eslint-visitor-keys,3.4.1
eslint-webpack-plugin,3.2.0
esprima,4.0.1
esrecurse,4.3.0
estraverse,4.3.0
estraverse,5.3.0
estree-walker,1.0.1
esutils,2.0.3
eventemitter2,4.1.2
expect,30.2.0
fast-deep-equal,3.1.3
fast-glob,3.3.0
fast-json-stable-stringify,2.1.0
fast-uri,3.1.0
fb-watchman,2.0.2
file-loader,6.2.0
filelist,1.0.4
filesize,8.0.7
find-cache-dir,3.3.2
find-up,3.0.0
find-up,4.1.0
find-up,5.0.0
foreground-child,3.3.1
fork-ts-checker-webpack-plugin,6.5.3
fraction.js,4.2.0
fs-extra,10.1.0
fs-extra,9.1.0
fs-monkey,1.0.4
fs.realpath,1.0.0
fsevents,2.3.2
function-bind,1.1.2
functions-have-names,1.2.3
gensync,1.0.0-beta.2
get-intrinsic,1.3.0
get-own-enumerable-property-symbols,3.0.2
get-package-type,0.1.0
get-proto,1.0.1
glob,11.1.0
glob,7.1.6
glob,7.2.3
glob-parent,6.0.2
global-modules,2.0.0
global-prefix,3.0.0
globals,11.12.0
globby,11.1.0
gopd,1.2.0
graceful-fs,4.2.11
grapheme-splitter,1.0.4
gzip-size,6.0.0
handlebars,4.7.8
harmony-reflect,1.6.2
has,1.0.3
has-flag,3.0.0
has-flag,4.0.0
has-symbols,1.1.0
has-tostringtag,1.0.2
hasown,2.0.2
he,1.2.0
headers-utils,3.0.2
hoopy,0.1.4
html-entities,2.4.0
html-minifier-terser,6.1.0
html-webpack-plugin,5.5.3
htmlparser2,10.0.0
htmlparser2,6.1.0
iconv-lite,0.6.3
icss-utils,5.1.0
idb,7.1.1
identity-obj-proxy,3.0.0
iframe-resizer,4.4.5
ignore,5.2.4
immer,9.0.21
import-fresh,3.3.0
indent-string,4.0.0
inflight,1.0.6
inherits,2.0.4
ini,1.3.8
internal-slot,1.0.5
is-core-module,2.12.1
is-docker,2.2.1
is-fullwidth-code-point,3.0.0
is-glob,4.0.3
is-module,1.0.0
is-obj,1.0.1
is-regexp,1.0.0
is-root,2.1.0
is-stream,2.0.1
is-string,1.0.7
is-wsl,2.2.0
isexe,2.0.0
istanbul-lib-coverage,3.2.0
istanbul-lib-instrument,5.2.1
jackspeak,4.1.1
jake,10.8.7
jest,27.5.1
jest-diff,30.2.0
jest-get-type,27.5.1
jest-haste-map,27.5.1
jest-matcher-utils,30.2.0
jest-message-util,28.1.3
jest-message-util,30.2.0
jest-mock,30.2.0
jest-pnp-resolver,1.2.3
jest-regex-util,27.5.1
jest-regex-util,28.0.2
jest-regex-util,30.0.1
jest-resolve,27.5.1
jest-serializer,27.5.1
jest-util,27.5.1
jest-util,28.1.3
jest-util,30.2.0
jest-validate,27.5.1
jest-watch-typeahead,1.1.0
jest-watcher,28.1.3
jest-worker,26.6.2
jest-worker,27.5.1
jest-worker,28.1.3
jiti,1.18.2
js-yaml,3.14.1
jsesc,0.5.0
json-schema,0.4.0
json-schema-traverse,1.0.0
json5,1.0.2
json5,2.2.3
jsonfile,6.1.0
jsonpointer,5.0.1
jsx-ast-utils,3.3.4
kind-of,6.0.3
kleur,3.0.3
klona,2.0.6
language-subtag-registry,0.3.22
language-tags,1.0.5
leven,3.1.0
lilconfig,2.1.0
lines-and-columns,1.1.6
linkify-it,2.2.0
linkify-it,5.0.0
loader-utils,2.0.4
loader-utils,3.2.1
locate-path,3.0.0
locate-path,5.0.0
lodash,4.17.21
lodash.debounce,4.0.8
lodash.memoize,4.1.2
lodash.sortby,4.7.0
lodash.uniq,4.5.0
loose-envify,1.4.0
lower-case,2.0.2
lru-cache,11.2.4
lru-cache,5.1.1
lz-string,1.5.0
magic-string,0.25.9
make-dir,3.1.0
make-error,1.3.6
makeerror,1.0.12
markdown-it,14.1.0
math-intrinsics,1.1.0
mdn-data,2.0.14
mdn-data,2.0.4
mdurl,2.0.0
memfs,3.5.3
memoize-one,6.0.0
merge-stream,2.0.0
merge2,1.4.1
micromatch,4.0.8
mime-db,1.52.0
mime-types,2.1.35
min-indent,1.0.1
mini-css-extract-plugin,2.7.6
minimatch,10.1.1
minimatch,3.1.2
minimatch,5.1.6
minimist,1.2.8
minipass,7.1.2
mkdirp,0.5.5
ms,2.0.0
ms,2.1.2
mz,2.7.0
natural-compare-lite,1.4.0
neo-async,2.6.2
no-case,3.0.4
node-int64,0.4.0
normalize-path,3.0.0
normalize-range,0.1.2
normalize-url,6.1.0
nth-check,1.0.2
nth-check,2.1.1
object-assign,4.1.1
object-hash,3.0.0
object-keys,1.1.1
object.assign,4.1.4
object.entries,1.1.6
object.fromentries,2.0.6
object.getownpropertydescriptors,2.1.2
object.hasown,1.1.2
object.values,1.1.6
once,1.4.0
open,8.4.2
p-limit,2.3.0
p-locate,3.0.0
p-locate,4.1.0
p-try,2.2.0
package-json-from-dist,1.0.1
param-case,3.0.4
parse-json,5.2.0
parse5,7.3.0
parse5-htmlparser2-tree-adapter,7.1.0
parse5-parser-stream,7.1.2
pascal-case,3.1.2
path-exists,3.0.0
path-exists,4.0.0
path-is-absolute,1.0.1
path-parse,1.0.7
path-scurry,2.0.1
path-type,4.0.0
performance-now,2.1.0
picocolors,0.2.1
picocolors,1.1.1
picomatch,2.3.1
pify,2.3.0
pirates,4.0.6
pkg-dir,4.2.0
pkg-up,3.1.0
playwright,1.58.0
playwright-core,1.58.0
postcss,7.0.39
postcss,8.5.6
postcss-attribute-case-insensitive,5.0.2
postcss-browser-comments,4.0.0
postcss-calc,8.2.4
postcss-clamp,4.1.0
postcss-color-functional-notation,4.2.4
postcss-color-hex-alpha,8.0.4
postcss-color-rebeccapurple,7.1.1
postcss-colormin,5.3.1
postcss-convert-values,5.1.3
postcss-custom-media,8.0.2
postcss-custom-properties,12.1.11
postcss-custom-selectors,6.0.3
postcss-dir-pseudo-class,6.0.5
postcss-discard-comments,5.1.2
postcss-discard-duplicates,5.1.0
postcss-discard-empty,5.1.1
postcss-discard-overridden,5.1.0
postcss-double-position-gradients,3.1.2
postcss-env-function,4.0.6
postcss-flexbugs-fixes,5.0.2
postcss-focus-visible,6.0.4
postcss-focus-within,5.0.4
postcss-font-variant,5.0.0
postcss-gap-properties,3.0.5
postcss-image-set-function,4.0.7
postcss-import,15.1.0
postcss-initial,4.0.1
postcss-js,4.0.1
postcss-lab-function,4.2.1
postcss-load-config,4.0.1
